general_id,product_id,sku,url,product_name,price,image_list
elise_55547,55547,ff2307078dxwopk,https://elise.vn/dam-gam-hong-logo-kt-co-be-no-sau-ff2307078dxwopk.html,ĐẦM GẤM HỒNG LOGO KT CỔ BẺ NƠ SAU,2.698.000 VND,{'001_ĐẦM GẤM HỒNG LOGO KT CỔ BẺ NƠ SAU': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2307078dxwopk11.jpg'}
elise_55542,55542,ff2308107bklabk,https://elise.vn/chan-vay-luoi-den-dap-ly-ff2308107bklabk.html,CHÂN VÁY LƯỚI ĐEN DẬP LY,1.398.000 VND,{'001_CHÂN VÁY LƯỚI ĐEN DẬP LY': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2308107bklabk11.jpg'}
elise_55537,55537,ff2311053tuwobk,https://elise.vn/vest-gam-den-van-song-sat-nach-ff2311053tuwobk.html,VEST GẤM ĐEN VÂN SÓNG SÁT NÁCH,2.098.000 VND,{'001_VEST GẤM ĐEN VÂN SÓNG SÁT NÁCH': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2311053tuwobk13.jpg'}
elise_55532,55532,fw2309063dilebk,https://elise.vn/dam-da-den-sat-nach-dinh-hoa-fw2309063dilebk.html,ĐẦM DA ĐEN SÁT NÁCH ĐÍNH HOA,2.698.000 VND,{'001_ĐẦM DA ĐEN SÁT NÁCH ĐÍNH HOA': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/w/fw2309063dilebk11.jpg'}
elise_55527,55527,ff2308148diwobk,https://elise.vn/dam-den-xoe-vat-co-dinh-hoa-ff2308148diwobk.html,ĐẦM ĐEN XÒE VẠT CỔ ĐÍNH HOA,2.498.000 VND,{'001_ĐẦM ĐEN XÒE VẠT CỔ ĐÍNH HOA': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2308148diwobk11.jpg'}
elise_55522,55522,fw2309174bkwopl,https://elise.vn/chan-vay-gam-xanh-logo-kt-ly-sup-fw2309174bkwopl.html,CHÂN VÁY GẤM XANH LOGO KT LY SÚP,1.698.000 VND,{'001_CHÂN VÁY GẤM XANH LOGO KT LY SÚP': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/w/fw2309174bkwopl11.jpg'}
elise_55517,55517,fw2309173tuwobl,https://elise.vn/vest-gam-xanh-logo-kt-dinh-no-fw2309173tuwobl.html,VEST GẤM XANH LOGO KT ĐÍNH NƠ,2.298.000 VND,{'001_VEST GẤM XANH LOGO KT ĐÍNH NƠ': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/w/fw2309173tuwobl11.jpg'}
elise_55512,55512,ff2309012diwobk,https://elise.vn/dam-gam-hoa-den-kt-bau-mi-eo-ff2309012diwobk.html,ĐẦM GẤM HOA ĐEN KT BẤU MÍ EO,2.498.000 VND,{'001_ĐẦM GẤM HOA ĐEN KT BẤU MÍ EO': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309012diwobk11.jpg'}
elise_55507,55507,ff2309011tuwobk,https://elise.vn/vest-lung-gam-hoa-den-kim-tuyen-ff2309011tuwobk.html,VEST LỬNG GẤM HOA ĐEN KIM TUYẾN,1.698.000 VND,{'001_VEST LỬNG GẤM HOA ĐEN KIM TUYẾN': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309011tuwobk12.jpg'}
elise_55502,55502,ff2308211diwobk,https://elise.vn/dam-gam-hoa-den-co-be-dinh-no-eo-ff2308211diwobk.html,ĐẦM GẤM HOA ĐEN CỔ BẺ ĐÍNH NƠ EO,2.698.000 VND,{'001_ĐẦM GẤM HOA ĐEN CỔ BẺ ĐÍNH NƠ EO': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2308211diwobk11.jpg'}
